drug1,drug2,side_effect,PRR
caspofungin,acyclovir,Hepatotoxicity,470.0
enalapril,digoxin,Cardioactive drug level increased,470.0
lidocaine,milrinone,Renal injury,470.0
pamidronate,paclitaxel,Metastases to bone,470.0
everolimus,mycophenolic acid,Kidney transplant rejection,470.0
prednisone,epoetin alfa,Skin tightness,470.0
methamphetamine,oxycodone,Substance abuse,470.0
hydrocodone,ciprofloxacin,Spinal osteoarthritis,470.0
olanzapine,aripiprazole,Diabetes mellitus non-insulin-dependent,470.0
zolpidem,pamidronate,Osteonecrosis of jaw,465.0
lamivudine,adefovir,Hypophosphataemia,465.0
6-aminocaproic acid,aprotinin,Renal injury,465.0
mercaptopurine,cytarabine,Haematotoxicity,463.333
asparaginase,methotrexate,Haematotoxicity,463.333
stavudine,ritonavir,Lipodystrophy acquired,463.333
norepinephrine,heparin,Renal injury,463.333
clozapine,vincristine,Agranulocytosis,460.0
hydrocortisone,desmopressin,Craniopharyngioma,460.0
tenofovir disoproxil,atazanavir,Lipodystrophy acquired,460.0
atropine,methotrexate,Hyperthermia,460.0
clozapine,rituximab,Leukopenia,460.0
calcium acetate,gabapentin,Nephrogenic systemic fibrosis,460.0
linezolid,fentanyl,Serotonin syndrome,460.0
vecuronium,protamine sulfate (usp),Renal injury,460.0
drospirenone,citalopram,Cholecystitis chronic,460.0
quetiapine,ranitidine,Diabetic neuropathy,460.0
chorionic gonadotropin,ganirelix,Ovarian hyperstimulation syndrome,460.0
caffeine,butorphanol,Dependence,460.0
sodium bicarbonate,mannitol,Anhedonia,460.0
gemtuzumab ozogamicin,cytarabine,Venoocclusive liver disease,460.0
cyclosporine,mycophenolic acid,Complications of transplanted kidney,460.0
mercaptopurine,methotrexate,Haematotoxicity,460.0
heparin,fondaparinux,Heparin-induced thrombocytopenia,460.0
sevoflurane,methotrexate,Hyperthermia,460.0
rocuronium,aprotinin,Fear,460.0
levodopa,carbidopa,Dopamine dysregulation syndrome,460.0
sulfamethoxazole,daclizumab,Cytomegalovirus infection,460.0
calcium acetate,calcitriol,Nephrogenic systemic fibrosis,460.0
dabigatran etexilate,alprazolam,Haemorrhagic anaemia,460.0
esomeprazole,rabeprazole,Multiple fractures,460.0
zoledronic acid,gabapentin,Osteosclerosis,460.0
atropine,cytarabine,Hyperthermia,460.0
telaprevir,ibuprofen,Anorectal discomfort,460.0
nevirapine,didanosine,Portal hypertension,460.0
zidovudine,etravirine,Lipodystrophy acquired,460.0
cytarabine,sevoflurane,Hyperthermia,460.0
aprotinin,labetalol,Renal injury,460.0
midazolam,heparin,Renal injury,455.556
lidocaine,mannitol,Renal injury,455.0
telaprevir,ursodeoxycholate,Hyperuricaemia,455.0
epinephrine,protamine sulfate (usp),Renal injury,453.333
risperidone,ziprasidone,Obesity,452.5
bupropion,clozapine,Granulocytopenia,450.0
aprotinin,etomidate,Renal injury,450.0
butorphanol,zolpidem,Dependence,450.0
valsartan,protamine sulfate (usp),Renal injury,450.0
bleomycin,dacarbazine,Pulmonary toxicity,450.0
acetaminophen,letrozole,Metastases to bone,450.0
quetiapine,thiothixene,Diabetes mellitus inadequate control,450.0
morphine,omeprazole,Dilatation intrahepatic duct acquired,450.0
aprotinin,propofol,Renal injury,450.0
sulfamethoxazole,alemtuzumab,Cytomegalovirus infection,450.0
amlodipine,rofecoxib,Carotid artery stenosis,450.0
topiramate,valproate,Hyperammonaemic encephalopathy,450.0
zoledronic acid,fulvestrant,Bone lesion,450.0
isoniazid,ethambutol,Disseminated tuberculosis,450.0
zidovudine,lopinavir,Portal hypertension,450.0
warfarin,sevelamer,Skin tightness,450.0
tacrolimus,filgrastim,Acute graft versus host disease,450.0
tenofovir disoproxil,didanosine,Fanconi syndrome acquired,450.0
zoledronic acid,paclitaxel,Exposed bone in jaw,450.0
epoetin alfa,amiodarone,Nephrogenic systemic fibrosis,450.0
zoledronic acid,melphalan,Osteolysis,450.0
temozolomide,magnesium oxide,Lymphocyte count decreased,450.0
tretinoin,isotretinoin,Inflammatory bowel disease,450.0
ethambutol,clarithromycin,Mycobacterium avium complex infection,450.0
lidocaine,protamine sulfate (usp),Renal injury,446.667
panitumumab,irinotecan,Dermatitis acneiform,445.0
lactate,calcium chloride,Fungal peritonitis,444.615
vecuronium,aspirin,Renal injury,440.0
levothyroxine,protamine sulfate (usp),Anhedonia,440.0
cholecalciferol,calcium,Anaemia postoperative,440.0
fluoxetine,paroxetine,Tearfulness,440.0
aspirin,bivalirudin,Thrombosis in device,440.0
dabigatran etexilate,albuterol,Lower gastrointestinal haemorrhage,440.0
cephalexin,lansoprazole,Economic problem,440.0
butalbital,butorphanol,Dependence,440.0
prednisolone,mycophenolic acid,Kidney transplant rejection,440.0
quetiapine,enalapril,Diabetic neuropathy,440.0
telaprevir,lisinopril,Anal pruritus,440.0
metformin,dabigatran etexilate,Lower gastrointestinal haemorrhage,440.0
butorphanol,gabapentin,Dependence,440.0
amlodipine,protamine sulfate (usp),Renal injury,440.0
dabigatran etexilate,zolpidem,Haemorrhagic anaemia,440.0
azithromycin,nitroglycerin,Economic problem,440.0
tacrolimus,melphalan,Acute graft versus host disease in intestine,440.0
cyclosporine,prednisone,Chronic allograft nephropathy,440.0
abacavir,saquinavir,Lipodystrophy acquired,440.0
ascorbic acid,alendronate,Intramedullary rod insertion,440.0
bendamustine,granisetron,Neutrophil count decreased,440.0
cephalexin,clopidogrel,Economic problem,440.0
aprotinin,verapamil,Renal injury,440.0
zidovudine,saquinavir,Mitochondrial toxicity,440.0
quinapril,atorvastatin,Hypertensive emergency,440.0
ethinyl estradiol,lansoprazole,Gallbladder injury,440.0
zoledronic acid,citalopram,Pain in jaw,440.0
melphalan,mycophenolate mofetil,Graft versus host disease,440.0
"albumin human, usp",protamine sulfate (usp),Renal injury,440.0
acetaminophen,dactinomycin,Febrile neutropenia,440.0
alemtuzumab,doxorubicin,Cytomegalovirus infection,440.0
abacavir,zidovudine,Mitochondrial toxicity,440.0
haloperidol,ziprasidone,Diabetic coma,440.0
ethinyl estradiol,phentermine,Cholecystitis chronic,436.667
fentanyl,protamine sulfate (usp),Renal injury,436.0
metronidazole,zoledronic acid,Osteonecrosis of jaw,435.0
epinephrine,heparin,Renal injury,435.0
zoledronic acid,thalidomide,Osteolysis,430.0
ramipril,protamine sulfate (usp),Unevaluable event,430.0
paroxetine,pamidronate,Osteonecrosis of jaw,430.0
bismuth subsalicylate,ranitidine,Osteoporosis,430.0
methylprednisolone,melphalan,Acute graft versus host disease in skin,430.0
aprotinin,levothyroxine,Renal injury,430.0
gadopentetate dimeglumine,mycophenolate mofetil,Skin hypertrophy,430.0
zoledronic acid,bevacizumab,Exposed bone in jaw,430.0
risperidone,thiothixene,Obesity,430.0
propoxyphene,amoxicillin,Economic problem,430.0
methamphetamine,citalopram,Toxicity to various agents,430.0
olanzapine,albuterol,Diabetic neuropathy,430.0
sulfamethoxazole,digoxin,Economic problem,430.0
zoledronic acid,promethazine,Metastases to bone,430.0
clonidine,gadopentetate dimeglumine,Joint range of motion decreased,430.0
phenytoin,busulfan,Graft versus host disease,430.0
prednisolone,mycophenolate mofetil,Polyomavirus-associated nephropathy,430.0
bivalirudin,clopidogrel,Thrombosis in device,430.0
budesonide,montelukast,Allergic granulomatous angiitis,430.0
norethindrone,acyclovir,Hepatotoxicity,430.0
methylprednisolone,fludarabine,Acute graft versus host disease in intestine,430.0
topiramate,clozapine,Granulocytopenia,430.0
hydralazine,aprotinin,Renal injury,430.0
glucose,calcium acetate,Peritonitis bacterial,430.0
aspirin,dihydroxyaluminum sodium carbonate,Multiple fractures,430.0
fulvestrant,anastrozole,Metastases to bone,430.0
glucose,epoetin alfa,Peritoneal dialysis complication,430.0
didanosine,ritonavir,Fanconi syndrome acquired,430.0
omeprazole,allopurinol,Dilatation intrahepatic duct acquired,430.0
tacrolimus,ganciclovir,Cytomegalovirus viraemia,430.0
ethinyl estradiol,meloxicam,Cholecystitis chronic,430.0
mycophenolate mofetil,sirolimus,Lymphocele,430.0
thiamine,sodium chloride,Peritonitis bacterial,430.0
estradiol,"estrogens, conjugated (usp)",Breast operation,430.0
prednisolone,etoposide,Stem cell transplant,430.0
calcium chloride,aprotinin,Unevaluable event,426.667
melphalan,etoposide,Stem cell transplant,425.0
sucralfate,ethinyl estradiol,Cholecystitis chronic,425.0
epinephrine,midazolam,Renal injury,423.333
fluticasone,lopinavir,Cushing's syndrome,420.0
risedronate,cholecalciferol,Low turnover osteopathy,420.0
risperidone,flunitrazepam,Neuroleptic malignant syndrome,420.0
morphine,heroin,Substance abuse,420.0
calcium acetate,gadoversetamide,Skin induration,420.0
zidovudine,efavirenz,Lipodystrophy acquired,420.0
buprenorphine,hydromorphone,Substance abuse,420.0
aprotinin,iohexol,Renal injury,420.0
voriconazole,allopurinol,Hepatotoxicity,420.0
cyclosporine,etoposide,Posterior reversible encephalopathy syndrome,420.0
aprotinin,metolazone,Unevaluable event,420.0
propofol,mannitol,Renal injury,420.0
zoledronic acid,alprazolam,Metastases to bone,420.0
morphine,ondansetron,Dilatation intrahepatic duct acquired,420.0
carfilzomib,lenalidomide,Plasma cell myeloma,420.0
zoledronic acid,cephalexin,Pain in jaw,420.0
glucose,thiamine,Peritonitis bacterial,420.0
magnesium chloride,metoprolol,Peritonitis,420.0
micafungin,methotrexate,Acute graft versus host disease in skin,420.0
cimetidine,dihydroxyaluminum sodium carbonate,Osteoporosis,420.0
pantoprazole,pamidronate,Spinal osteoarthritis,420.0
testosterone,omeprazole,Blood testosterone decreased,420.0
norgestimate,isotretinoin,Inflammatory bowel disease,420.0
methylprednisolone,acyclovir,Chronic graft versus host disease,420.0
zoledronic acid,anastrozole,Exposed bone in jaw,420.0
thiamine,calcium chloride,Peritonitis bacterial,420.0
dabigatran etexilate,vitamin d,Haemorrhagic anaemia,420.0
calcium carbonate,lansoprazole,Calcium deficiency,420.0
melphalan,pamidronate,Bone lesion,420.0
magnesium chloride,omeprazole,Peritonitis bacterial,420.0
spironolactone,bosentan,Right ventricular failure,416.667
zoledronic acid,dexamethasone,Osteosclerosis,415.0
vancomycin,protamine sulfate (usp),Renal injury,415.0
allopurinol,peginterferon alfa-2b,Hyperuricaemia,415.0
valsartan,aprotinin,Renal injury,415.0
aprotinin,isosorbide,Renal injury,415.0
aprotinin,amiodarone,Renal injury,414.0
simvastatin,fusidate,Rhabdomyolysis,413.333
pamidronate,docetaxel,Metastases to bone,410.0
enoxaparin,warfarin,Abdominal wall haematoma,410.0
zoledronic acid,hexetidine,Osteonecrosis of jaw,410.0
aspirin,midazolam,Renal injury,410.0
infliximab,dexchlorpheniramine,Infusion related reaction,410.0
diphenhydramine,pamidronate,Osteonecrosis of jaw,410.0
aprotinin,alprazolam,Renal injury,410.0
stavudine,nevirapine,Viral mutation identified,410.0
vinorelbine,pamidronate,Tooth extraction,410.0
magnesium chloride,sevelamer,Peritonitis bacterial,410.0
ondansetron,acyclovir,Dilatation intrahepatic duct acquired,410.0
sevelamer,gadoteridol,Scar,410.0
morphine,acyclovir,Venoocclusive liver disease,410.0
morphine,voriconazole,Dilatation intrahepatic duct acquired,410.0
prochlorperazine,chlorhexidine,Osteonecrosis of jaw,410.0
alendronate,pamidronate,Osteomyelitis,410.0
ondansetron,ketamine,Hepatotoxicity,410.0
ketamine,acyclovir,Hepatotoxicity,410.0
omeprazole,etoposide,Hepatotoxicity,410.0
losartan,epoetin alfa,Nephrogenic systemic fibrosis,410.0
fluconazole,amphotericin b,Immune reconstitution syndrome,410.0
gentamicin,aprotinin,Renal injury,410.0
levofloxacin,protamine sulfate (usp),Renal injury,410.0
pamidronate,doxorubicin,Atelectasis,410.0
simvastatin,dopamine,Renal injury,410.0
sulfamethoxazole,cyclosporine,Immunosuppressant drug level increased,410.0
lansoprazole,ranitidine,Calcium deficiency,410.0
methylprednisolone,mycophenolic acid,Kidney transplant rejection,410.0
methotrexate,vincristine,Glioma,410.0
infliximab,prednisone,Histoplasmosis disseminated,410.0
calcium carbonate,dihydroxyaluminum sodium carbonate,Bone disorder,410.0
warfarin,mannitol,Renal injury,410.0
midazolam,calcium chloride,Fear,410.0
quetiapine,oxcarbazepine,Diabetic neuropathy,410.0
ranitidine,dihydroxyaluminum sodium carbonate,Vitamin D deficiency,410.0
sulfamethoxazole,methylprednisolone,Cytomegalovirus test positive,410.0
caspofungin,ketamine,Hepatotoxicity,410.0
aspirin,dopamine,Renal injury,406.667
pomalidomide,acyclovir,Plasma cell myeloma,405.0
sodium bicarbonate,acetylcysteine,Acute kidney injury,405.0
nitroglycerin,milrinone,Renal injury,405.0
tacrolimus,methylprednisolone,Cytomegalovirus test positive,405.0
sodium bicarbonate,sodium chloride,Acute kidney injury,405.0
chlorpheniramine,allopurinol,Dilatation intrahepatic duct acquired,400.0
quetiapine,temazepam,Type 1 diabetes mellitus,400.0
stavudine,fluconazole,Immune reconstitution syndrome,400.0
glucose,taurine,No adverse event,400.0
morphine,ketamine,Hepatotoxicity,400.0
cinacalcet,gadopentetate dimeglumine,Joint range of motion decreased,400.0
acetaminophen,morphine,Dilatation intrahepatic duct acquired,400.0
acetaminophen,allopurinol,Dilatation intrahepatic duct acquired,400.0
iron sucrose,sevelamer,Nephrogenic systemic fibrosis,400.0
zidovudine,stavudine,Immune reconstitution syndrome,400.0
risperidone,hydrocodone,Diabetic neuropathy,400.0
magnesium chloride,povidone-iodine,Endophthalmitis,400.0
zoledronic acid,celecoxib,Metastases to bone,400.0
morphine,caspofungin,Hepatotoxicity,400.0
benzoyl peroxide,isotretinoin,Inflammatory bowel disease,400.0
aspirin,zoledronic acid,Aortic arteriosclerosis,400.0
olanzapine,atorvastatin,Diabetic neuropathy,400.0
metoprolol,gadolinium,Joint range of motion decreased,400.0
acetaminophen,omeprazole,Dilatation intrahepatic duct acquired,400.0
6-aminocaproic acid,midazolam,Unevaluable event,400.0
pamidronate,metoprolol,Atelectasis,400.0
midazolam,papaverine,Renal injury,400.0
lamotrigine,citalopram,Electrocardiogram QRS complex prolonged,400.0
norgestimate,"synthetic conjugated estrogens, a",Breast cancer female,400.0
clopidogrel,milrinone,Unevaluable event,400.0
tacrolimus,valganciclovir,Complications of transplanted kidney,400.0
drospirenone,clonazepam,Cholecystitis chronic,400.0
filgrastim,methotrexate,Haematotoxicity,400.0
alemtuzumab,fludarabine,Epstein-Barr virus associated lymphoproliferative disorder,400.0
aspirin,papaverine,Renal injury,400.0
omeprazole,ganciclovir,Cytomegalovirus infection,400.0
rabbit anti-human t-lymphocyte globulin,filgrastim,Cytomegalovirus test positive,400.0
palivizumab,ferrous sulfate,Bronchiolitis,400.0
drospirenone,ibuprofen,Thrombophlebitis superficial,400.0
lamivudine,indinavir,Mitochondrial toxicity,400.0
acetaminophen,tamoxifen,Metastases to bone,400.0
temazepam,pamidronate,Osteonecrosis of jaw,400.0
filgrastim,vincristine,Haematotoxicity,400.0
aspirin,pamidronate,Bone lesion,400.0
povidone-iodine,dexamethasone,Endophthalmitis,400.0
pancuronium,clopidogrel,Unevaluable event,400.0
ribavirin,clozapine,Hepatitis C,400.0
captopril,aprotinin,Fear,400.0
efavirenz,fluconazole,Immune reconstitution syndrome,400.0
aprotinin,pravastatin,Renal injury,400.0
desmopressin,somatropin,Neoplasm recurrence,400.0
ramipril,sorafenib,Palmar-plantar erythrodysaesthesia syndrome,400.0
atorvastatin,ziprasidone,Obesity,400.0
taurine,sodium chloride,No adverse event,400.0
ethinyl estradiol,albuterol,Gallbladder cholesterolosis,400.0
etoposide,vincristine,Treatment related secondary malignancy,400.0
duloxetine,drospirenone,Cholecystitis chronic,400.0
chlorpheniramine,acyclovir,Dilatation intrahepatic duct acquired,400.0
chlorpheniramine,caspofungin,Hepatotoxicity,400.0
azithromycin,ethambutol,Mycobacterium avium complex infection,400.0
furosemide,gadodiamide,Fibrosis,400.0
vardenafil,sildenafil,Erectile dysfunction,395.714
6-aminocaproic acid,heparin,Renal injury,395.0
lamivudine,nelfinavir,Lipodystrophy acquired,395.0
bleomycin,vinblastine,Pulmonary toxicity,395.0
midazolam,vancomycin,Renal injury,392.5
saquinavir,nevirapine,Diplopia,390.0
emtricitabine,ritonavir,Immune reconstitution syndrome,390.0
"insulin, isophane",aprotinin,Renal injury,390.0
clonazepam,haloperidol,Type 1 diabetes mellitus,390.0
chlorpheniramine,morphine,Hepatotoxicity,390.0
cyclophosphamide,thalidomide,Plasmacytoma,390.0
sulfamethoxazole,mycophenolate mofetil,Cytomegalovirus viraemia,390.0
pamidronate,thalidomide,Osteolysis,390.0
metoprolol,dopamine,Renal injury,390.0
aprotinin,celecoxib,Unevaluable event,390.0
alendronate,levothyroxine,Spondylolisthesis,390.0
gadodiamide,darbepoetin alfa,Skin induration,390.0
norethindrone,acetaminophen,Hepatotoxicity,390.0
chlorpheniramine,cyclosporine,Hepatotoxicity,390.0
zoledronic acid,penicillin,Bone disorder,390.0
hydrocodone,chlorhexidine,Osteomyelitis,390.0
succinylcholine,sufentanil,Bronchospasm,390.0
furosemide,pamidronate,Osteomyelitis,390.0
clozapine,doxorubicin,Platelet count decreased,390.0
tranexamic acid,lansoprazole,Melaena,390.0
micafungin,acyclovir,Graft versus host disease,390.0
citalopram,methylene blue,Serotonin syndrome,390.0
alendronate,denosumab,Osteonecrosis of jaw,390.0
aprotinin,eptifibatide,Unevaluable event,390.0
norethindrone,voriconazole,Hepatotoxicity,390.0
thiamine,epoetin alfa,Skin induration,390.0
bosentan,levothyroxine,Right ventricular failure,390.0
calcium carbonate,lactate,Peritonitis bacterial,390.0
aspirin,gadoteridol,Skin hypertrophy,390.0
tazobactam,piperacillin,Linear IgA disease,390.0
acetaminophen,calcium acetate,Nephrogenic systemic fibrosis,390.0
etoposide,ketamine,Hepatotoxicity,390.0
ethinyl estradiol,duloxetine,Biliary dyskinesia,390.0
tobramycin,albuterol,Cystic fibrosis,390.0
prochlorperazine,zoledronic acid,Osteosclerosis,390.0
remifentanil,propofol,Delayed recovery from anaesthesia,390.0
epoetin alfa,carvedilol,Nephrogenic systemic fibrosis,390.0
dihydroxyaluminum sodium carbonate,gabapentin,Osteoporosis,390.0
vitamin e,alendronate,Low turnover osteopathy,390.0
hydralazine,epoetin alfa,Nephrogenic systemic fibrosis,390.0
oxycodone,zoledronic acid,Kyphosis,390.0
warfarin,protamine sulfate (usp),Renal injury,390.0
fulvestrant,pamidronate,Metastases to bone,390.0
iodixanol,aprotinin,Unevaluable event,390.0
levofloxacin,nitroglycerin,Mitral valve incompetence,390.0
esomeprazole,zoledronic acid,Osteolysis,390.0
calcium carbonate,calcium chloride,Peritonitis bacterial,390.0
sulfamethoxazole,rabbit anti-human t-lymphocyte globulin,Transplant rejection,390.0
